community_area,total_requests,avg_response_time,community_area_name,income_estimate,total_population,requests_per_1000
1,19701,559.0076680540751,ROGERS PARK,86660.09423332992,53169,370.5354623935
2,30387,696.713385475514,WEST RIDGE,85934.37985356113,79220,383.57737944963395
3,25226,702.8905724693218,UPTOWN,97222.37388075999,52674,478.90800015187756
4,20914,626.7659651164026,LINCOLN SQUARE,106661.4042598737,42180,495.82740635372215
5,20984,829.6140743873639,NORTH CENTER,131004.30332635497,35782,586.4401095522888
6,39050,691.9827599587423,LAKE VIEW,127498.99030694668,90652,430.768212504964
7,33874,764.2312215776767,LINCOLN PARK,134222.56097560975,62067,545.7650603380218
8,29569,778.8647180887641,NEAR NORTH SIDE,128350.09683263573,91635,322.682381186228
9,6508,1056.759485462337,EDISON PARK,122468.51599727706,11398,570.9773644499036
10,23430,851.8854422037274,NORWOOD PARK,108692.8335690712,40074,584.6683635274742
11,16590,932.1016689270645,JEFFERSON PARK,103708.60927152318,26991,614.649327553629
12,20389,2680.035393689953,FOREST GLEN,123465.49752192147,19763,1031.675352932247
13,10683,813.840788974175,NORTH PARK,90993.84293680298,19259,554.7016979074718
14,22891,814.0961974866397,ALBANY PARK,87876.01911723362,47830,478.5908425674263
15,42359,1085.7370457281806,PORTAGE PARK,98938.87945670629,64201,659.7872307284933
16,33966,807.544606305652,IRVING PARK,99306.32630410655,53535,634.4634351358924
17,25309,979.1302397039262,DUNNING,100942.01263537905,42548,594.8340697565103
18,8590,1085.6634932414952,MONTCLARE,93449.40662086196,13755,624.5001817520902
19,38789,925.5653598242342,BELMONT CRAGIN,79959.16432154656,73988,524.2606909228523
20,12770,998.5983603497782,HERMOSA,79531.07019562715,23200,550.4310344827586
21,24861,813.1794110811668,AVONDALE,97008.10706472784,36350,683.9339752407153
22,47298,731.9204505828294,LOGAN SQUARE,106896.02169981918,71354,662.8640300473695
23,32565,727.7548720763601,HUMBOLDT PARK,68002.46738039478,55015,591.9294737798782
24,64670,633.5702401852138,WEST TOWN,119761.35744964007,86453,748.0365053844286
25,66447,744.9419100728567,AUSTIN,65928.64948547492,100278,662.6278944534196
